,year,world_rank,institution,country_name,total_score,award
0,2014,1,Harvard University,us,100.0,100.0
1,2014,2,Stanford University,us,72.1,41.8
2,2014,3,Massachusetts Institute of Technology (MIT),us,70.5,68.4
3,2014,4,University of California-Berkeley,us,70.1,66.8
4,2014,5,University of Cambridge,gb,69.2,79.1
5,2014,6,Princeton University,us,60.7,52.1
6,2014,7,California Institute of Technology,us,60.5,48.5
7,2014,8,Columbia University,us,59.6,65.1
8,2014,9,University of Chicago,us,57.4,61.4
9,2014,9,University of Oxford,gb,57.4,51.0
10,2014,11,Yale University,us,55.2,48.8
11,2014,12,"University of California, Los Angeles",us,51.9,30.2
12,2014,13,Cornell University,us,50.6,37.6
13,2014,14,"University of California, San Diego",us,49.3,19.7
14,2014,15,University of Washington,us,48.1,21.7
15,2014,16,University of Pennsylvania,us,47.1,32.4
16,2014,17,The Johns Hopkins University,us,47.0,38.7
17,2014,18,"University of California, San Francisco",us,45.2,0.0
18,2014,19,Swiss Federal Institute of Technology Zurich,ch,43.9,30.2
19,2014,20,University College London,gb,43.3,28.8
20,2014,21,The University of Tokyo,jp,43.2,31.6
21,2014,22,"The Imperial College of Science, Technology and Medicine",gb,42.3,14.9
22,2014,22,University of Michigan-Ann Arbor,us,42.3,35.3
23,2014,24,University of Toronto,ca,41.8,20.4
24,2014,24,University of Wisconsin - Madison,us,41.8,31.6
25,2014,26,Kyoto University,jp,39.9,30.2
26,2014,27,New York University,us,39.6,28.8
27,2014,28,Northwestern University,us,39.4,15.8
28,2014,28,University of Illinois at Urbana-Champaign,us,39.4,30.7
29,2014,30,"University of Minnesota, Twin Cities",us,39.3,30.2
30,2014,31,Duke University,us,38.4,15.8
31,2014,32,Washington University in St. Louis,us,37.8,19.0
32,2014,33,Rockefeller University,us,37.6,17.5
33,2014,34,University of Colorado at Boulder,us,37.2,12.9
34,2014,35,Pierre and Marie  Curie University - Paris 6,fr,35.4,34.5
35,2014,36,University of North Carolina at Chapel Hill,us,35.2,9.1
36,2014,37,University of British Columbia,ca,35.1,15.8
37,2014,38,The University of Manchester,gb,34.7,19.0
38,2014,39,The University of Texas at Austin,us,34.5,16.6
39,2014,39,University of Copenhagen,dk,34.5,22.3
40,2014,41,"University of California, Santa Barbara",us,34.3,14.9
41,2014,42,University of Paris Sud (Paris 11),fr,34.2,31.1
42,2014,43,"University of Maryland, College Park",us,32.7,19.7
43,2014,44,The University of Melbourne,au,32.6,17.5
44,2014,45,The University of Edinburgh,gb,32.5,21.1
45,2014,45,The University of Texas Southwestern Medical Center at Dallas,us,32.5,19.0
46,2014,47,Karolinska Institute,se,31.9,22.9
47,2014,47,"University of California, Irvine",us,31.9,0.0
48,2014,49,Heidelberg University,de,31.1,13.9
49,2014,49,University of Munich,de,31.1,26.3
50,2014,51,University of Southern California,us,31.0,0.0
51,2014,52,"Rutgers, The State University of New Jersey - New Brunswick",us,30.9,10.5
52,2014,53,Technical University Munich,de,30.7,35.7
53,2014,54,Vanderbilt University,us,30.6,15.8
54,2014,55,"University of California, Davis",us,30.4,0.0
55,2014,56,University of Zurich,ch,30.3,5.3
56,2014,57,Utrecht University,nl,30.2,23.5
57,2014,58,Pennsylvania State University - University Park,us,30.0,10.5
58,2014,59,King's College London,gb,29.7,21.7
59,2014,60,Purdue University - West Lafayette,us,29.5,13.9
60,2014,60,Uppsala University,se,29.5,18.2
61,2014,62,Carnegie Mellon University,us,29.4,32.4
62,2014,63,University of Bristol,gb,28.9,7.4
63,2014,64,The Ohio State University - Columbus,us,28.7,12.9
64,2014,65,University of Pittsburgh-Pittsburgh Campus,us,28.6,19.0
65,2014,66,University of Geneva,ch,28.5,22.3
66,2014,67,Ecole Normale Superieure - Paris,fr,28.3,50.2
67,2014,67,McGill University,ca,28.3,31.1
68,2014,69,University of Oslo,no,28.1,18.2
69,2014,70,Ghent University,be,28.0,5.3
70,2014,70,The Hebrew University of Jerusalem,il,28.0,32.9
71,2014,72,Boston University,us,27.8,11.8
72,2014,73,University of Helsinki,fi,27.5,12.9
