,year,world_rank,institution,country_name,total_score,award
0,2010,1,Harvard University,us,100.0,100.0
1,2010,2,"University of California, Berkeley",us,72.4,67.6
2,2010,3,Stanford University,us,72.1,40.2
3,2010,4,Massachusetts Institute of Technology (MIT),us,71.4,70.5
4,2010,5,University of Cambridge,gb,69.6,88.5
5,2010,6,California Institute of Technology,us,64.4,50.3
6,2010,7,Princeton University,us,60.8,56.4
7,2010,8,Columbia University,us,60.4,70.7
8,2010,9,University of Chicago,us,57.3,65.5
9,2010,10,University of Oxford,gb,56.4,56.2
10,2010,11,Yale University,us,54.6,48.6
11,2010,12,Cornell University,us,52.6,42.3
12,2010,13,"University of California, Los Angeles",us,52.2,27.2
13,2010,14,"University of California, San Diego",us,50.0,15.1
14,2010,15,University of Pennsylvania,us,49.0,32.9
15,2010,16,University of Washington,us,48.7,24.4
16,2010,17,University of Wisconsin - Madison,us,46.4,36.5
17,2010,18,The Johns Hopkins University,us,46.0,43.6
18,2010,18,"University of California, San Francisco",us,46.0,0.0
19,2010,20,The University of Tokyo,jp,45.9,33.3
20,2010,21,University College London,gb,44.4,32.9
21,2010,22,University of Michigan - Ann Arbor,us,44.2,36.5
22,2010,23,Swiss Federal Institute of Technology Zurich,ch,43.4,34.1
23,2010,24,Kyoto University,jp,43.1,33.7
24,2010,25,University of Illinois at Urbana-Champaign,us,42.6,35.4
25,2010,26,The Imperial College of Science,gb,41.9,17.7
26,2010,27,University of Toronto,ca,41.8,23.8
27,2010,28,University of Minnesota,us,40.6,30.6
28,2010,29,Northwestern University,us,38.4,18.5
29,2010,30,Washington University in St. Louis,us,38.1,21.3
30,2010,31,New York University,us,37.8,32.4
31,2010,32,"University of California, Santa Barbara",us,37.1,16.0
32,2010,32,University of Colorado at Boulder,us,37.1,14.1
33,2010,34,Rockefeller University,us,36.7,19.2
34,2010,35,Duke University,us,35.3,17.7
35,2010,36,University of British Columbia,ca,34.7,17.7
36,2010,36,"University of Maryland, College Park",us,34.7,22.0
37,2010,38,The University of Texas at Austin,us,34.5,18.5
38,2010,39,Pierre and Marie Curie University - Paris 6,fr,34.2,34.8
39,2010,40,University of Copenhagen,dk,33.4,26.1
40,2010,41,University of North Carolina at Chapel Hill,us,33.3,10.7
41,2010,42,Karolinska Institute,se,33.2,26.1
42,2010,43,Pennsylvania State University - University Park,us,32.6,11.9
43,2010,44,The University of Manchester,gb,32.4,23.2
44,2010,45,University of Paris Sud (Paris 11),fr,32.3,31.7
45,2010,46,"University of California, Davis",us,32.0,0.0
46,2010,46,"University of California, Irvine",us,32.0,0.0
47,2010,46,University of Southern California,us,32.0,0.0
48,2010,49,The University of Texas Southwestern Medical Center at Dallas,us,31.8,20.6
49,2010,50,Utrecht University,nl,31.7,26.1
50,2010,51,University of Zurich,ch,31.2,10.7
51,2010,52,University of Munich,de,31.1,31.5
52,2010,53,Vanderbilt University,us,31.0,17.7
53,2010,54,Rutgers,us,30.9,13.1
54,2010,54,The University of Edinburgh,gb,30.9,19.2
55,2010,56,Technical University Munich,de,30.7,39.2
56,2010,56,University of Pittsburgh,us,30.7,21.3
57,2010,58,Carnegie Mellon University,us,30.2,32.9
58,2010,59,The Australian National University,au,29.6,15.1
59,2010,59,The Ohio State University - Columbus,us,29.6,15.1
60,2010,61,McGill University,ca,29.5,31.1
61,2010,62,University of Melbourne,au,29.3,19.9
62,2010,63,King's College London,gb,29.1,14.1
63,2010,63,University of Heidelberg,de,29.1,16.9
64,2010,65,Brown University,us,29.0,16.0
65,2010,66,University of Bristol,gb,28.9,9.2
66,2010,66,Uppsala University,se,28.9,22.0
67,2010,68,University of Florida,us,28.8,19.2
68,2010,69,Purdue University - West Lafayette,us,28.6,16.0
69,2010,70,Leiden University,nl,28.4,21.3
70,2010,71,Ecole Normale Superieure - Paris,fr,28.3,50.8
71,2010,72,The Hebrew University of Jerusalem,il,28.1,31.5
72,2010,72,University of Helsinki,fi,28.1,16.0
73,2010,74,Moscow State University,ru,27.9,46.8
74,2010,75,Osaka University,jp,27.7,10.7
75,2010,75,University of Oslo,no,27.7,22.0
76,2010,77,Boston University,us,27.3,13.1
77,2010,78,University of Arizona,us,26.8,0.0
78,2010,79,Nagoya University,jp,26.4,24.4
79,2010,79,Stockholm University,se,26.4,25.0
80,2010,81,Arizona State University - Tempe,us,26.1,0.0
81,2010,82,University of Rochester,us,25.8,0.0
82,2010,82,University of Utah,us,25.8,28.2
83,2010,84,Tohoku University,jp,25.7,16.0
