,year,world_rank,institution,country_name,total_score,award
0,2016,1,Harvard University,us,100.0,100.0
1,2016,2,Stanford University,us,74.7,42.9
2,2016,3,"University of California, Berkeley",us,70.1,65.1
3,2016,4,University of Cambridge,gb,69.6,78.3
4,2016,5,Massachusetts Institute of Technology (MIT),us,69.2,69.4
5,2016,6,Princeton University,us,62.0,53.3
6,2016,7,University of Oxford,gb,58.9,49.7
7,2016,8,California Institute of Technology,us,57.8,51.0
8,2016,9,Columbia University,us,56.7,63.5
9,2016,10,University of Chicago,us,54.2,59.8
10,2016,11,Yale University,us,52.8,47.6
11,2016,12,"University of California, Los Angeles",us,51.5,29.5
12,2016,13,Cornell University,us,49.0,42.0
13,2016,14,"University of California, San Diego",us,47.8,19.2
14,2016,15,University of Washington,us,47.3,21.2
15,2016,16,Johns Hopkins University,us,46.0,37.7
16,2016,17,University College London,gb,45.3,28.1
17,2016,18,University of Pennsylvania,us,44.5,31.6
18,2016,19,Swiss Federal Institute of Technology Zurich,ch,43.8,29.5
19,2016,20,The University of Tokyo,jp,42.2,36.3
20,2016,21,"University of California, San Francisco",us,41.9,0.0
21,2016,22,"The Imperial College of Science, Technology and Medicine",gb,41.6,14.5
22,2016,23,University of Michigan-Ann Arbor,us,40.8,34.4
23,2016,23,Washington University in St. Louis,us,40.8,22.9
24,2016,25,Duke University,us,40.4,15.4
25,2016,26,Northwestern University,us,40.0,15.4
26,2016,27,University of Toronto,ca,39.4,19.9
27,2016,28,University of Wisconsin - Madison,us,39.2,32.8
28,2016,29,New York University,us,38.0,28.1
29,2016,30,University of Copenhagen,dk,37.7,21.8
30,2016,30,University of Illinois at Urbana-Champaign,us,37.7,29.9
31,2016,32,Kyoto University,jp,37.2,31.6
32,2016,33,"University of Minnesota, Twin Cities",us,36.8,29.5
33,2016,34,University of British Columbia,ca,36.7,15.4
34,2016,35,The University of Manchester,gb,36.4,18.5
35,2016,35,University of North Carolina at Chapel Hill,us,36.4,8.9
36,2016,37,Rockefeller University,us,36.1,17.0
37,2016,38,University of Colorado at Boulder,us,35.1,12.6
38,2016,39,Pierre and Marie  Curie University - Paris 6,fr,34.5,33.6
39,2016,40,The University of Melbourne,au,33.9,17.0
40,2016,41,The University of Edinburgh,gb,33.6,20.5
41,2016,42,"University of California, Santa Barbara",us,33.3,14.5
