,year,world_rank,institution,country_name,total_score,award
0,2022,1,Harvard University,us,100.0,100.0
1,2022,2,Stanford University,us,76.8,45.0
2,2022,3,Massachusetts Institute of Technology (MIT),us,70.1,72.8
3,2022,4,University of Cambridge,gb,69.6,78.8
4,2022,5,"University of California, Berkeley",us,65.3,65.4
5,2022,6,Princeton University,us,60.0,62.9
6,2022,7,University of Oxford,gb,58.7,48.0
7,2022,8,Columbia University,us,57.2,58.5
8,2022,9,California Institute of Technology,us,56.1,56.0
9,2022,10,University of Chicago,us,55.1,57.7
10,2022,11,Yale University,us,53.2,48.3
11,2022,12,Cornell University,us,50.4,41.7
12,2022,13,"University of California, Los Angeles",us,50.2,30.7
13,2022,14,Johns Hopkins University,us,47.9,37.7
14,2022,15,University of Pennsylvania,us,47.5,32.9
15,2022,16,Paris-Saclay University,fr,47.0,27.9
16,2022,17,University of Washington,us,46.8,23.3
17,2022,18,University College London,gb,46.6,27.7
18,2022,19,"University of California, San Francisco",us,45.9,0.0
19,2022,20,ETH Zurich,ch,45.6,27.2
20,2022,21,"University of California, San Diego",us,45.5,18.5
21,2022,22,University of Toronto,ca,40.5,16.9
22,2022,23,Imperial College London,gb,40.3,13.1
23,2022,24,The University of Tokyo,jp,39.8,37.4
24,2022,25,New York University,us,39.5,27.2
25,2022,26,Tsinghua University,cn,39.3,9.2
26,2022,27,Washington University in St. Louis,us,39.1,21.4
27,2022,28,University of Michigan-Ann Arbor,us,39.0,34.2
28,2022,29,University of North Carolina at Chapel Hill,us,38.0,7.5
29,2022,30,Northwestern University,us,37.3,13.1
30,2022,31,Duke University,us,37.2,20.0
31,2022,32,The University of Melbourne,au,36.6,15.1
32,2022,33,University of Wisconsin - Madison,us,36.1,28.7
33,2022,34,Peking University,cn,35.9,10.7
34,2022,35,The University of Edinburgh,gb,35.4,26.1
35,2022,36,Zhejiang University,cn,34.7,0.0
36,2022,37,The University of Texas at Austin,us,34.6,23.9
37,2022,38,The University of Manchester,gb,34.5,15.1
38,2022,39,University of Copenhagen,dk,34.4,19.2
39,2022,40,PSL University,fr,34.3,51.8
40,2022,41,Karolinska Institute,se,34.2,23.3
41,2022,41,Kyoto University,jp,34.2,34.6
42,2022,43,Sorbonne University,fr,33.9,37.1
43,2022,44,Rockefeller University,us,33.8,16.0
44,2022,44,University of British Columbia,ca,33.8,14.1
45,2022,44,"University of Minnesota, Twin Cities",us,33.8,26.7
46,2022,47,The University of Queensland,au,33.6,11.9
47,2022,48,King's College London,gb,33.4,23.9
48,2022,49,University of Illinois at Urbana-Champaign,us,33.3,26.1
49,2022,50,"University of Maryland, College Park",us,33.1,17.7
50,2022,51,University of Colorado at Boulder,us,33.0,11.9
51,2022,52,The University of Texas Southwestern Medical Center at Dallas,us,32.9,17.7
52,2022,53,University of Southern California,us,32.6,0.0
53,2022,54,Shanghai Jiao Tong University,cn,32.0,0.0
54,2022,54,Utrecht University,nl,32.0,21.4
55,2022,56,Technical University of Munich,de,31.7,35.0
56,2022,57,"University of California, Santa Barbara",us,31.5,14.1
57,2022,57,University of Munich,de,31.5,25.6
58,2022,59,University of Zurich,ch,31.4,0.0
59,2022,60,University of Sydney,au,30.8,13.1
60,2022,61,"University of California, Irvine",us,30.7,15.1
61,2022,62,University of Geneva,ch,30.3,34.6
62,2022,62,University of Science and Technology of China,cn,30.3,0.0
63,2022,64,The University of New South Wales,au,30.2,0.0
64,2022,64,Vanderbilt University,us,30.2,14.1
65,2022,66,University of Groningen,nl,30.1,13.1
66,2022,67,Fudan University,cn,30.0,0.0
67,2022,67,University of Oslo,no,30.0,25.6
68,2022,69,Aarhus University,dk,29.7,10.7
69,2022,70,Heidelberg University,de,29.5,18.5
70,2022,71,National University of Singapore,sg,29.3,0.0
71,2022,71,The University of Texas M. D. Anderson Cancer Center,us,29.3,0.0
72,2022,73,McGill University,ca,29.1,30.7
73,2022,74,Ghent University,be,28.9,0.0
74,2022,75,Monash University,au,28.4,0.0
75,2022,76,University of Bonn,de,28.1,26.1
76,2022,77,The Hebrew University of Jerusalem,il,27.9,30.7
77,2022,78,Université Paris Cité,fr,27.7,14.3
78,2022,79,Sun Yat-sen University,cn,27.5,0.0
79,2022,79,The Australian National University,au,27.5,13.1
