,year,world_rank,institution,country_name,total_score,award
0,2020,1,Harvard University,us,100.0,100.0
1,2020,2,Stanford University,us,74.2,43.8
2,2020,3,University of Cambridge,gb,70.6,79.5
3,2020,4,Massachusetts Institute of Technology (MIT),us,69.6,71.4
4,2020,5,"University of California, Berkeley",us,65.8,64.9
5,2020,6,Princeton University,us,61.1,59.0
6,2020,7,Columbia University,us,58.6,59.5
7,2020,8,California Institute of Technology,us,57.7,50.7
8,2020,9,University of Oxford,gb,57.2,48.9
9,2020,10,University of Chicago,us,54.6,58.7
10,2020,11,Yale University,us,53.5,47.0
11,2020,12,Cornell University,us,50.4,42.4
12,2020,13,"University of California, Los Angeles",us,50.3,27.7
13,2020,14,Paris-Saclay University,fr,49.6,28.4
14,2020,15,Johns Hopkins University,us,48.3,38.4
15,2020,16,University College London,gb,46.6,26.0
16,2020,16,University of Washington,us,46.6,23.7
17,2020,18,"University of California, San Diego",us,46.3,18.8
18,2020,19,University of Pennsylvania,us,46.2,33.5
19,2020,20,ETH Zurich,ch,46.1,27.7
20,2020,21,"University of California, San Francisco",us,42.8,0.0
21,2020,22,University of Michigan-Ann Arbor,us,41.0,32.6
22,2020,23,University of Toronto,ca,40.9,17.2
23,2020,23,Washington University in St. Louis,us,40.9,21.7
24,2020,25,Imperial College London,gb,40.3,13.3
25,2020,26,The University of Tokyo,jp,40.1,36.4
26,2020,27,Duke University,us,39.2,20.3
27,2020,27,New York University,us,39.2,27.7
28,2020,29,Tsinghua University,cn,38.1,9.4
29,2020,30,Northwestern University,us,37.6,13.3
30,2020,30,University of North Carolina at Chapel Hill,us,37.6,7.7
31,2020,32,University of Wisconsin - Madison,us,37.4,29.2
32,2020,33,University of Copenhagen,dk,36.9,19.6
33,2020,34,Kyoto University,jp,36.3,35.2
34,2020,35,The University of Melbourne,au,36.0,15.4
35,2020,36,PSL University,fr,35.5,52.7
36,2020,36,The University of Manchester,gb,35.5,15.4
37,2020,38,University of British Columbia,ca,35.4,14.4
38,2020,39,Sorbonne University,fr,35.3,34.5
39,2020,40,"University of Minnesota, Twin Cities",us,35.0,27.2
40,2020,41,The University of Texas at Austin,us,34.9,24.3
41,2020,42,The University of Edinburgh,gb,34.7,26.6
42,2020,43,Rockefeller University,us,34.4,16.3
43,2020,44,University of Colorado at Boulder,us,34.2,12.1
44,2020,45,Karolinska Institute,se,33.9,23.7
45,2020,45,University of Illinois at Urbana-Champaign,us,33.9,26.6
46,2020,47,King's College London,gb,33.6,20.3
47,2020,48,The University of Texas Southwestern Medical Center at Dallas,us,33.0,18.0
48,2020,49,Peking University,cn,32.4,10.9
49,2020,49,"University of California, Santa Barbara",us,32.4,14.4
50,2020,51,University of Munich,de,32.3,26.0
51,2020,52,Utrecht University,nl,31.6,21.7
52,2020,53,"University of Maryland, College Park",us,31.5,18.0
53,2020,54,Technical University of Munich,de,31.4,35.6
54,2020,54,The University of Queensland,au,31.4,12.1
55,2020,56,University of Zurich,ch,31.3,0.0
56,2020,57,Heidelberg University,de,30.9,18.8
57,2020,58,Zhejiang University,cn,30.7,0.0
58,2020,59,University of Geneva,ch,30.6,35.2
59,2020,60,University of Oslo,no,30.3,26.0
