,year,world_rank,institution,country_name,total_score,award
0,2017,1,Harvard University,us,100.0,100.0
1,2017,2,Stanford University,us,76.5,44.5
2,2017,3,University of Cambridge,gb,70.9,81.4
3,2017,4,Massachusetts Institute of Technology (MIT),us,70.4,68.7
4,2017,5,"University of California, Berkeley",us,69.1,64.4
5,2017,6,Princeton University,us,61.1,54.4
6,2017,7,University of Oxford,gb,60.1,50.8
7,2017,8,Columbia University,us,58.8,62.8
8,2017,9,California Institute of Technology,us,57.3,50.5
9,2017,10,University of Chicago,us,53.9,59.2
10,2017,11,Yale University,us,52.8,47.1
11,2017,12,"University of California, Los Angeles",us,52.5,29.2
12,2017,13,University of Washington,us,50.3,20.9
13,2017,14,Cornell University,us,49.6,43.1
14,2017,15,"University of California, San Diego",us,49.5,19.0
15,2017,16,University College London,gb,47.1,27.8
16,2017,17,University of Pennsylvania,us,46.0,31.3
17,2017,18,Johns Hopkins University,us,45.7,37.3
18,2017,19,Swiss Federal Institute of Technology Zurich,ch,44.1,29.2
19,2017,20,Washington University in St. Louis,us,43.3,22.7
20,2017,21,"University of California, San Francisco",us,42.4,0.0
21,2017,22,Northwestern University,us,41.9,15.2
22,2017,23,University of Toronto,ca,41.6,19.7
23,2017,24,The University of Tokyo,jp,41.5,38.3
24,2017,24,University of Michigan-Ann Arbor,us,41.5,34.1
25,2017,26,Duke University,us,41.0,15.2
26,2017,27,Imperial College London,gb,40.9,14.4
27,2017,28,University of Wisconsin - Madison,us,39.7,32.5
28,2017,29,New York University,us,38.6,29.6
29,2017,30,University of Copenhagen,dk,38.5,21.5
30,2017,31,University of British Columbia,ca,37.7,15.2
31,2017,32,The University of Edinburgh,gb,37.0,24.3
32,2017,33,University of North Carolina at Chapel Hill,us,36.9,8.8
33,2017,34,"University of Minnesota, Twin Cities",us,36.8,29.2
34,2017,35,Kyoto University,jp,36.7,31.3
35,2017,36,Rockefeller University,us,36.6,16.8
36,2017,37,University of Illinois at Urbana-Champaign,us,36.2,29.6
37,2017,38,The University of Manchester,gb,36.1,18.3
38,2017,39,The University of Melbourne,au,35.9,16.8
39,2017,40,Pierre and Marie Curie University - Paris 6,fr,35.5,33.3
40,2017,41,University of Paris-Sud (Paris 11),fr,35.0,30.0
41,2017,42,Heidelberg University,de,34.8,19.7
