,year,world_rank,institution,country_name,total_score,award
0,2009,1,Harvard University,us,100.0,100.0
1,2009,2,Stanford University,us,73.1,39.0
2,2009,3,"University of California, Berkeley",us,71.0,67.4
3,2009,4,University of Cambridge,gb,70.2,89.4
4,2009,5,Massachusetts Institute of Technology (MIT),us,69.5,71.0
5,2009,6,California Institute of Technology,us,64.8,51.5
6,2009,7,Columbia University,us,61.7,70.6
7,2009,8,Princeton University,us,60.2,57.8
8,2009,9,University of Chicago,us,57.0,65.8
9,2009,10,University of Oxford,gb,56.3,57.6
10,2009,11,Yale University,us,55.2,49.8
11,2009,12,Cornell University,us,53.1,40.5
12,2009,13,"University of California, Los Angeles",us,52.3,23.8
13,2009,14,"University of California, San Diego",us,50.7,15.5
14,2009,15,University of Pennsylvania,us,49.3,30.9
15,2009,16,University of Washington,us,48.0,25.0
16,2009,17,University of Wisconsin - Madison,us,46.7,37.5
17,2009,18,"University of California, San Francisco",us,45.9,0.0
18,2009,19,The Johns Hopkins University,us,45.2,44.7
19,2009,20,The University of Tokyo,jp,45.1,34.1
20,2009,21,University College London,gb,44.6,30.4
21,2009,22,University of Michigan - Ann Arbor,us,43.8,37.5
22,2009,23,Swiss Federal Institute of Technology Zurich,ch,43.6,35.0
23,2009,24,Kyoto University,jp,42.7,34.6
24,2009,25,University of Illinois at Urbana-Champaign,us,42.4,36.2
25,2009,26,The Imperial College of Science,gb,41.9,18.1
26,2009,27,University of Toronto,ca,40.5,24.4
27,2009,28,University of Minnesota,us,40.4,31.4
28,2009,29,Washington University in St. Louis,us,39.5,21.9
29,2009,30,Northwestern University,us,38.7,18.9
30,2009,31,Duke University,us,37.1,18.1
31,2009,32,New York University,us,36.9,33.2
32,2009,32,Rockefeller University,us,36.9,19.7
33,2009,34,University of Colorado at Boulder,us,36.4,14.5
34,2009,35,"University of California, Santa Barbara",us,35.0,0.0
35,2009,36,University of British Columbia,ca,34.4,18.1
36,2009,37,"University of Maryland, College Park",us,34.1,22.5
37,2009,38,The University of Texas at Austin,us,34.0,18.9
38,2009,39,University of North Carolina at Chapel Hill,us,33.4,10.9
39,2009,40,Pierre and Marie Curie University - Paris 6,fr,33.3,35.7
40,2009,41,The University of Manchester,gb,33.0,23.8
41,2009,41,Vanderbilt University,us,33.0,18.1
42,2009,43,University of Copenhagen,dk,32.7,26.8
