,year,world_rank,institution,country_name,total_score,award
0,2007,1,Harvard University,us,100.0,100.0
1,2007,2,Stanford University,us,73.7,42.0
2,2007,3,"University of California, Berkeley",us,71.9,72.5
3,2007,4,University of Cambridge,gb,71.6,93.6
4,2007,5,Massachusetts Institute of Technology (MIT),us,70.0,74.6
5,2007,6,California Institute of Technology,us,66.4,55.5
6,2007,7,Columbia University,us,63.2,76.0
7,2007,8,Princeton University,us,59.5,62.3
8,2007,9,University of Chicago,us,58.4,70.8
9,2007,10,University of Oxford,gb,56.4,60.3
10,2007,11,Yale University,us,55.9,50.9
11,2007,12,Cornell University,us,54.3,43.6
12,2007,13,"University of California, Los Angeles",us,52.6,25.6
13,2007,14,"University of California, San Diego",us,50.4,16.6
14,2007,15,University of Pennsylvania,us,49.0,33.3
15,2007,16,University of Washington,us,48.2,27.0
16,2007,17,University of Wisconsin - Madison,us,48.0,40.3
17,2007,18,"University of California, San Francisco",us,46.8,0.0
18,2007,19,The Johns Hopkins University,us,46.1,48.1
19,2007,20,The University of Tokyo,jp,45.9,33.8
20,2007,21,University of Michigan - Ann Arbor,us,44.0,40.3
21,2007,22,Kyoto University,jp,43.1,37.2
22,2007,23,The Imperial College of Science,gb,43.0,19.5
23,2007,23,University of Toronto,ca,43.0,26.3
24,2007,25,University College London,gb,42.8,28.8
25,2007,26,University of Illinois at Urbana-Champaign,us,42.7,39.0
26,2007,27,Swiss Federal Institute of Technology Zurich,ch,39.9,37.7
27,2007,28,Washington University in St. Louis,us,39.7,23.5
28,2007,29,Northwestern University,us,38.2,20.4
29,2007,30,New York University,us,38.0,35.8
30,2007,30,Rockefeller University,us,38.0,21.2
31,2007,32,Duke University,us,37.4,19.5
32,2007,33,University of Minnesota,us,37.0,33.8
33,2007,34,University of Colorado at Boulder,us,36.6,15.6
34,2007,35,"University of California, Santa Barbara",us,35.8,0.0
35,2007,36,University of British Columbia,ca,35.4,19.5
36,2007,37,"University of Maryland, College Park",us,35.0,24.3
37,2007,38,The University of Texas at Austin,us,34.4,20.4
38,2007,39,Pierre and Marie Curie University - Paris 6,fr,33.8,38.4
39,2007,39,The University of Texas Southwestern Medical Center at Dallas,us,33.8,22.8
40,2007,41,Vanderbilt University,us,33.6,19.5
41,2007,42,Utrecht University,nl,33.5,28.8
42,2007,43,Pennsylvania State University - University Park,us,32.7,13.2
43,2007,43,"University of California, Davis",us,32.7,0.0
44,2007,45,"University of California, Irvine",us,32.5,0.0
45,2007,46,University of Copenhagen,dk,32.2,28.8
46,2007,47,Rutgers,us,32.1,14.4
47,2007,48,The University of Manchester,gb,32.0,25.6
48,2007,49,University of Pittsburgh,us,31.9,23.5
49,2007,50,University of Southern California,us,31.4,0.0
50,2007,51,University of Florida,us,31.1,21.2
51,2007,52,University of Paris Sud (Paris 11),fr,30.9,31.3
52,2007,53,Karolinska Institute,se,30.8,28.8
53,2007,53,The University of Edinburgh,gb,30.8,21.2
54,2007,53,University of Munich,de,30.8,34.8
55,2007,56,Technical University Munich,de,30.6,40.3
56,2007,57,The Australian National University,au,30.4,16.6
57,2007,58,University of North Carolina at Chapel Hill,us,30.2,11.8
58,2007,58,University of Zurich,ch,30.2,11.8
59,2007,60,Carnegie Mellon University,us,30.0,32.8
60,2007,61,The Ohio State University - Columbus,us,29.5,16.6
61,2007,62,University of Bristol,gb,29.4,10.2
62,2007,63,McGill University,ca,29.3,27.0
63,2007,64,The Hebrew University of Jerusalem,il,29.0,31.1
64,2007,65,University of Heidelberg,de,28.9,18.6
65,2007,66,Uppsala University,se,28.8,24.3
66,2007,67,Osaka University,jp,28.6,11.8
67,2007,68,Purdue University - West Lafayette,us,28.3,17.6
68,2007,69,University of Oslo,no,28.2,24.3
69,2007,70,Brown University,us,28.1,17.6
70,2007,71,Leiden University,nl,28.0,23.5
71,2007,72,The University of Sheffield,gb,27.9,22.0
72,2007,73,University of Helsinki,fi,27.8,17.6
73,2007,74,University of Arizona,us,27.6,0.0
74,2007,75,University of Rochester,us,27.4,31.1
75,2007,76,Moscow State University,ru,27.1,51.6
76,2007,76,Tohoku University,jp,27.1,17.6
77,2007,78,Case Western Reserve University,us,26.8,38.1
78,2007,79,University of Melbourne,au,26.6,14.4
79,2007,80,Michigan State University,us,26.1,11.8
80,2007,81,University of Nottingham,gb,26.0,14.4
81,2007,82,University of Basel,ch,25.9,24.3
82,2007,83,Boston University,us,25.5,14.4
83,2007,83,Ecole Normale Superieure - Paris,fr,25.5,48.5
84,2007,83,King's College London,gb,25.5,15.6
85,2007,86,Stockholm University,se,25.3,27.6
86,2007,87,McMaster University,ca,25.0,15.6
87,2007,87,Rice University,us,25.0,20.4
88,2007,87,University of Goettingen,de,25.0,36.3
89,2007,90,Indiana University Bloomington,us,24.9,13.2
90,2007,91,Texas A&M University - College Station,us,24.8,0.0
91,2007,92,University of Birmingham,gb,24.5,23.5
92,2007,93,University of Utah,us,24.3,0.0
93,2007,94,Nagoya University,jp,24.1,0.0
94,2007,94,University of Freiburg,de,24.1,23.5
95,2007,96,Arizona State University - Tempe,us,24.0,0.0
96,2007,97,Lund University,se,23.9,27.6
97,2007,97,University of Iowa,us,23.9,0.0
98,2007,99,Tokyo Institute of Technology,jp,23.8,15.6
99,2007,99,University of Bonn,de,23.8,18.6
100,2007,99,University of Strasbourg,fr,23.8,27.6
101,2007,102-150,Aarhus University,dk,,14.4
102,2007,102-150,Baylor College of Medicine,us,,0.0
103,2007,102-150,Catholic University of Leuven,be,,0.0
104,2007,102-150,Catholic University of Louvain,be,,13.2
105,2007,102-150,Dartmouth College,us,,22.8
106,2007,102-150,Emory University,us,,0.0
107,2007,102-150,Georgia Institute of Technology,us,,15.6
108,2007,102-150,Ghent University,be,,8.3
109,2007,102-150,Hokkaido University,jp,,0.0
110,2007,102-150,Mayo Medical School,us,,0.0
111,2007,102-150,National University of Singapore,sg,,0.0
112,2007,102-150,North Carolina State University - Raleigh,us,,0.0
113,2007,102-150,Oregon State University,us,,14.4
114,2007,102-150,Swiss Federal Institute of Technology of Lausanne,ch,,0.0
115,2007,102-150,Technion-Israel Institute of Technology,il,,17.6
116,2007,102-150,Tel Aviv University,il,,0.0
117,2007,102-150,The University of Georgia,us,,0.0
118,2007,102-150,The University of Glasgow,gb,,11.8
119,2007,102-150,The University of Queensland,au,,15.6
120,2007,102-150,The University of Western Australia,au,,16.6
121,2007,102-150,Tufts University,us,,17.6
122,2007,102-150,University Libre Bruxelles,be,,20.4
123,2007,102-150,University of Alberta,ca,,14.4
124,2007,102-150,University of Amsterdam,nl,,8.3
125,2007,102-150,"University of California, Riverside",us,,15.6
126,2007,102-150,"University of California, Santa Cruz",us,,0.0
127,2007,102-150,University of Frankfurt,de,,34.3
128,2007,102-150,University of Geneva,ch,,27.6
129,2007,102-150,University of Groningen,nl,,0.0
130,2007,102-150,University of Hamburg,de,,15.6
131,2007,102-150,University of Hawaii at Manoa,us,,0.0
132,2007,102-150,University of Illinois at Chicago,us,,0.0
133,2007,102-150,University of Leeds,gb,,21.2
134,2007,102-150,University of Liverpool,gb,,22.0
