,year,world_rank,institution,country_name,total_score,award
0,2011,1,Harvard University,us,100.0,100.0
1,2011,2,Stanford University,us,72.6,41.2
2,2011,3,Massachusetts Institute of Technology (MIT),us,72.0,72.8
3,2011,4,"University of California, Berkeley",us,71.9,68.3
4,2011,5,University of Cambridge,gb,70.0,87.1
5,2011,6,California Institute of Technology,us,64.7,52.6
6,2011,7,Princeton University,us,61.2,56.7
7,2011,8,Columbia University,us,60.4,69.6
8,2011,9,University of Chicago,us,57.5,65.0
9,2011,10,University of Oxford,gb,56.4,55.5
10,2011,11,Yale University,us,54.8,49.6
11,2011,12,"University of California, Los Angeles",us,53.0,30.0
12,2011,13,Cornell University,us,51.5,42.0
13,2011,14,University of Pennsylvania,us,50.4,36.3
14,2011,15,"University of California, San Diego",us,49.5,15.6
15,2011,16,University of Washington,us,48.8,24.3
16,2011,17,"University of California, San Francisco",us,46.7,0.0
17,2011,18,The Johns Hopkins University,us,45.9,43.2
18,2011,19,University of Wisconsin - Madison,us,45.6,35.3
19,2011,20,University College London,gb,44.8,32.2
20,2011,21,The University of Tokyo,jp,44.6,35.3
21,2011,22,University of Michigan - Ann Arbor,us,44.1,36.7
22,2011,23,Swiss Federal Institute of Technology Zurich,ch,43.2,33.8
23,2011,24,The Imperial College of Science,gb,42.6,16.6
24,2011,25,University of Illinois at Urbana-Champaign,us,42.5,34.3
25,2011,26,University of Toronto,ca,41.9,22.8
26,2011,27,Kyoto University,jp,41.2,33.8
27,2011,28,University of Minnesota,us,40.8,30.0
28,2011,29,New York University,us,38.8,32.2
29,2011,30,Northwestern University,us,38.7,17.6
30,2011,31,Washington University in St. Louis,us,38.1,21.2
31,2011,32,University of Colorado at Boulder,us,37.2,14.4
32,2011,33,Rockefeller University,us,37.1,19.5
33,2011,33,"University of California, Santa Barbara",us,37.1,16.6
34,2011,35,Duke University,us,35.1,17.6
35,2011,35,The University of Texas at Austin,us,35.1,18.6
36,2011,37,University of British Columbia,ca,34.9,17.6
37,2011,38,The University of Manchester,gb,34.8,21.2
38,2011,38,"University of Maryland, College Park",us,34.8,22.0
39,2011,40,University of Paris Sud (Paris 11),fr,34.6,32.2
40,2011,41,Pierre and Marie Curie University - Paris 6,fr,34.3,35.4
41,2011,42,University of North Carolina at Chapel Hill,us,34.0,10.2
42,2011,43,University of Copenhagen,dk,33.7,25.0
43,2011,44,Karolinska Institute,se,33.5,25.6
44,2011,45,Pennsylvania State University - University Park,us,32.1,11.8
45,2011,46,University of Southern California,us,32.0,0.0
46,2011,47,Technical University Munich,de,31.8,39.9
47,2011,48,"University of California, Davis",us,31.7,0.0
48,2011,48,"University of California, Irvine",us,31.7,0.0
49,2011,48,Utrecht University,nl,31.7,26.3
50,2011,51,The University of Texas Southwestern Medical Center at Dallas,us,31.6,21.2
51,2011,52,Vanderbilt University,us,31.3,17.6
52,2011,53,The University of Edinburgh,gb,31.2,23.5
53,2011,54,University of Munich,de,30.9,29.4
54,2011,55,Carnegie Mellon University,us,30.6,36.3
55,2011,56,University of Zurich,ch,30.5,5.9
56,2011,57,The Hebrew University of Jerusalem,il,30.3,36.7
57,2011,57,University of Pittsburgh,us,30.3,21.2
58,2011,59,Rutgers,us,30.1,11.8
59,2011,60,University of Melbourne,au,30.0,19.5
60,2011,61,Purdue University - West Lafayette,us,29.9,15.6
61,2011,62,University of Heidelberg,de,29.6,15.6
62,2011,63,The Ohio State University - Columbus,us,29.5,14.4
63,2011,64,McGill University,ca,29.4,31.1
64,2011,65,Brown University,us,29.2,16.6
65,2011,65,Leiden University,nl,29.2,20.4
66,2011,67,Uppsala University,se,29.0,20.4
67,2011,68,King's College London,gb,28.9,14.4
68,2011,69,Ecole Normale Superieure - Paris,fr,28.7,54.2
69,2011,70,The Australian National University,au,28.6,15.6
70,2011,70,University of Bristol,gb,28.6,8.3
71,2011,72,University of Florida,us,28.4,19.5
72,2011,73,University of Geneva,ch,28.1,25.0
73,2011,74,University of Helsinki,fi,28.0,14.4
74,2011,75,University of Oslo,no,27.9,20.4
75,2011,76,Boston University,us,27.7,13.2
76,2011,77,Moscow State University,ru,26.9,47.4
77,2011,78,Arizona State University - Tempe,us,26.7,0.0
78,2011,79,University of Utah,us,26.5,0.0
79,2011,80,University of Arizona,us,26.4,0.0
80,2011,81,Stockholm University,se,26.1,24.3
81,2011,82,Indiana University Bloomington,us,25.9,11.8
82,2011,82,Osaka University,jp,25.9,10.2
83,2011,84,University of Rochester,us,25.8,28.2
84,2011,85,University of Nottingham,gb,25.7,13.2
85,2011,86,Aarhus University,dk,25.4,13.2
86,2011,86,The University of Queensland,au,25.4,14.4
87,2011,86,University of Goettingen,de,25.4,31.1
88,2011,89,Ghent University,be,25.3,5.9
89,2011,89,McMaster University,ca,25.3,14.4
90,2011,89,University of Basel,ch,25.3,22.0
91,2011,92,Michigan State University,us,25.1,10.2
92,2011,93,Rice University,us,24.8,18.6
93,2011,94,Nagoya University,jp,24.7,25.0
94,2011,94,University of Bonn,de,24.7,17.6
95,2011,96,University of Sydney,au,24.5,16.6
96,2011,97,Case Western Reserve University,us,24.4,34.8
97,2011,97,The University of Sheffield,gb,24.4,20.4
98,2011,97,Tohoku University,jp,24.4,16.6
99,2011,100,Texas A&M University - College Station,us,24.2,0.0
100,2011,100,University of Frankfurt,de,24.2,34.8
101,2011,102-150,Aix-Marseille University,fr,,15.6
102,2011,102-150,Baylor College of Medicine,us,,0.0
103,2011,102-150,Catholic University of Leuven,be,,0.0
104,2011,102-150,Catholic University of Louvain,be,,11.8
105,2011,102-150,Emory University,us,,0.0
106,2011,102-150,Georgia Institute of Technology,us,,14.4
107,2011,102-150,Hokkaido University,jp,,13.2
108,2011,102-150,London School of Economics and Political Science,gb,,22.8
109,2011,102-150,Lund University,se,,24.3
110,2011,102-150,Mayo Medical School,us,,0.0
111,2011,102-150,National Taiwan University,tw,,13.2
112,2011,102-150,National University of Singapore,sg,,0.0
113,2011,102-150,Oregon State University,us,,11.8
114,2011,102-150,Radboud University Nijmegen,nl,,18.6
115,2011,102-150,Seoul National University,kr,,0.0
116,2011,102-150,Swiss Federal Institute of Technology of Lausanne,ch,,0.0
117,2011,102-150,Technion-Israel Institute of Technology,il,,16.6
118,2011,102-150,Tel Aviv University,il,,0.0
119,2011,102-150,The University of Georgia,us,,0.0
120,2011,102-150,The University of Western Australia,au,,15.6
121,2011,102-150,Tokyo Institute of Technology,jp,,14.4
122,2011,102-150,Tufts University,us,,16.6
123,2011,102-150,University of Alberta,ca,,13.2
124,2011,102-150,University of Amsterdam,nl,,5.9
125,2011,102-150,University of Birmingham,gb,,21.2
126,2011,102-150,"University of California, Riverside",us,,0.0
127,2011,102-150,"University of California, Santa Cruz",us,,14.4
128,2011,102-150,University of Delaware,us,,11.8
129,2011,102-150,University of Freiburg,de,,21.2
130,2011,102-150,University of Groningen,nl,,0.0
131,2011,102-150,University of Hawaii at Manoa,us,,0.0
132,2011,102-150,University of Iowa,us,,0.0
133,2011,102-150,University of Leeds,gb,,19.5
134,2011,102-150,University of Liverpool,gb,,19.5
135,2011,102-150,University of Massachusetts Amherst,us,,15.6
136,2011,102-150,University of Massachusetts Medical School - Worcester,us,,0.0
137,2011,102-150,University of Montreal,ca,,13.2
138,2011,102-150,University of Muenster,de,,22.0
139,2011,102-150,University of Paris Diderot (Paris 7),fr,,15.6
140,2011,102-150,University of Pisa,it,,15.6
141,2011,102-150,University of Roma - La Sapienza,it,,13.2
