,year,world_rank,institution,country_name,total_score,award
0,2004,1,Harvard University,us,100.0,98.6
1,2004,2,Stanford University,us,77.2,41.2
2,2004,3,University of Cambridge,gb,76.2,100.0
3,2004,4,"University of California, Berkeley",us,74.2,70.0
4,2004,5,Massachusetts Institute of Technology (MIT),us,72.4,74.1
5,2004,6,California Institute of Technology,us,69.0,59.3
6,2004,7,Princeton University,us,63.6,61.0
7,2004,8,University of Oxford,gb,61.4,64.4
8,2004,9,Columbia University,us,61.2,77.8
9,2004,10,University of Chicago,us,60.5,72.2
10,2004,11,Yale University,us,58.6,52.2
11,2004,12,Cornell University,us,55.5,46.6
12,2004,13,"University of California, San Diego",us,53.8,17.8
13,2004,14,The University of Tokyo,jp,51.9,36.1
14,2004,15,University of Pennsylvania,us,51.8,35.6
15,2004,16,"University of California, Los Angeles",us,51.6,27.4
16,2004,17,"University of California, San Francisco",us,50.8,0.0
17,2004,18,University of Wisconsin - Madison,us,50.0,43.1
18,2004,19,University of Michigan - Ann Arbor,us,49.3,39.8
19,2004,20,University of Washington,us,49.1,22.7
20,2004,21,Kyoto University,jp,48.3,39.8
21,2004,22,The Johns Hopkins University,us,47.5,48.7
22,2004,23,The Imperial College of Science,gb,46.4,20.9
23,2004,24,University of Toronto,ca,44.6,28.1
24,2004,25,University College London,gb,44.3,30.8
25,2004,25,University of Illinois at Urbana-Champaign,us,43.3,41.7
26,2004,27,Swiss Federal Institute of Technology Zurich,ch,43.2,40.3
27,2004,28,Washington University in St. Louis,us,43.1,25.1
28,2004,29,Rockefeller University,us,40.2,22.7
29,2004,30,Northwestern University,us,39.5,21.8
30,2004,31,Duke University,us,38.9,20.9
31,2004,32,New York University,us,38.7,33.9
32,2004,33,University of Minnesota,us,38.3,36.1
33,2004,34,University of Colorado at Boulder,us,37.8,16.6
34,2004,35,"University of California, Santa Barbara",us,37.0,0.0
35,2004,36,The University of Texas Southwestern Medical Center at Dallas,us,36.3,16.6
36,2004,36,University of British Columbia,ca,36.3,20.9
37,2004,38,Vanderbilt University,us,35.1,12.6
38,2004,39,Utrecht University,nl,34.9,30.8
39,2004,40,The University of Texas at Austin,us,34.8,21.8
40,2004,41,Pierre and Marie Curie University - Paris 6,fr,33.9,35.7
41,2004,42,"University of California, Davis",us,33.6,0.0
42,2004,43,Pennsylvania State University - University Park,us,33.5,14.1
43,2004,44,Rutgers,us,33.4,15.4
44,2004,45,Technical University Munich,de,33.3,43.1
45,2004,46,Karolinska Institute,se,33.0,30.8
46,2004,47,The University of Edinburgh,gb,32.9,22.7
47,2004,48,University of Paris Sud (Paris 11),fr,32.5,33.3
48,2004,48,University of Pittsburgh,us,32.5,18.9
49,2004,48,University of Southern California,us,32.5,0.0
50,2004,51,University of Munich,de,32.4,37.2
51,2004,52,University of Rochester,us,32.0,33.3
52,2004,53,The Australian National University,au,31.9,17.8
53,2004,54,Osaka University,jp,31.5,12.6
54,2004,55,"University of California, Irvine",us,31.4,0.0
55,2004,56,University of North Carolina at Chapel Hill,us,31.2,12.6
56,2004,57,"University of Maryland, College Park",us,31.1,25.9
57,2004,57,University of Zurich,ch,31.1,12.6
58,2004,59,University of Copenhagen,dk,31.0,30.8
59,2004,60,University of Bristol,gb,30.6,10.9
60,2004,61,McGill University,ca,30.4,28.8
61,2004,62,Carnegie Mellon University,us,30.3,18.9
62,2004,63,Leiden University,nl,29.8,25.1
63,2004,64,University of Heidelberg,de,29.7,10.9
64,2004,65,Case Western Reserve University,us,29.6,37.2
65,2004,66,Moscow State University,ru,29.5,51.5
66,2004,67,University of Florida,us,29.3,15.4
67,2004,68,University of Oslo,no,29.2,25.9
68,2004,69,The University of Sheffield,gb,28.8,23.5
69,2004,69,Tohoku University,jp,28.8,18.9
70,2004,71,Purdue University - West Lafayette,us,28.7,18.9
71,2004,72,University of Helsinki,fi,28.6,18.9
72,2004,73,The Ohio State University - Columbus,us,28.5,17.8
73,2004,74,Uppsala University,se,28.4,25.9
74,2004,75,Rice University,us,28.3,21.8
75,2004,76,University of Arizona,us,28.1,0.0
76,2004,77,King's College London,gb,28.0,16.6
77,2004,78,The University of Manchester,gb,27.9,25.9
78,2004,79,University of Goettingen,de,27.4,38.8
79,2004,80,Michigan State University,us,27.0,12.6
80,2004,80,University of Nottingham,gb,27.0,15.4
81,2004,82,Brown University,us,26.8,0.0
82,2004,82,University of Melbourne,au,26.8,15.4
